Ticket,Open,Type,Volume,Symbol,Price_open,SL,TP,Close,Price_close,Swap,Commissions,Profit,Pips,Trade duration in seconds
58433837,2022-12-13 15:00:28,buy,12.0,XAUUSD,1788.76,1782.5,1796.0,2022-12-13 15:28:21,1788.3,0.0,-21.46,-552.0,-0.46,1673
58435409,2022-12-13 15:16:55,sell,26.0,US100.cash,11774.8,0.0,0.0,2022-12-13 15:27:12,11817.2,0.0,0.0,-1102.4,-42.4,617
58432697,2022-12-13 14:49:14,buy,26.0,US100.cash,11786.8,11740.0,11817.0,2022-12-13 15:26:46,11827.5,0.0,0.0,1058.2,40.7,2252
58432659,2022-12-13 14:49:00,sell,26.0,US100.cash,11786.7,0.0,0.0,2022-12-13 14:49:06,11786.7,0.0,0.0,0.0,0.0,6
58392543,2022-12-13 04:44:56,buy,3.5,XAUUSD,1785.71,1782.6,1788.2,2022-12-13 04:56:03,1785.91,0.0,-6.25,70.0,0.2,667
58389082,2022-12-13 02:45:27,buy,4.6,XAUUSD,1782.75,1780.5,1784.8,2022-12-13 03:44:38,1784.31,0.0,-8.2,717.6,1.56,3551
58352241,2022-12-12 17:44:11,sell,1.6,XAUUSD,1784.62,1791.3,1778.5,2022-12-12 20:30:15,1781.06,0.0,-2.85,569.6,3.56,9964
58324152,2022-12-12 14:59:43,sell,1.4,XAUUSD,1788.89,1796.0,1780.6,2022-12-12 20:01:46,1780.04,0.0,-2.5,1239.0,8.85,18123
58333792,2022-12-12 16:29:14,sell,27.0,US100.cash,11568.3,11608.0,11535.0,2022-12-12 17:49:38,11534.8,0.0,0.0,904.5,33.5,4824
58351985,2022-12-12 17:42:17,sell,16.0,US100.cash,11545.6,0.0,0.0,2022-12-12 17:45:08,11556.0,0.0,0.0,-166.4,-10.4,171
58330757,2022-12-12 15:59:35,sell,2.5,XAUUSD,1787.56,1791.6,1783.4,2022-12-12 17:40:13,1783.47,0.0,-4.46,1022.5,4.09,6038
58289060,2022-12-12 06:15:56,buy,33.0,US100.cash,11552.3,11518.0,11577.0,2022-12-12 11:42:42,11577.2,0.0,0.0,821.7,24.9,19606
58288162,2022-12-12 05:31:55,sell,4.75,XAUUSD,1787.56,1789.7,1785.4,2022-12-12 09:28:41,1789.8,0.0,-8.5,-1064.0,-2.24,14206
58290464,2022-12-12 07:15:21,sell,3.26,XAUUSD,1785.88,1789.0,1782.8,2022-12-12 08:48:14,1789.03,0.0,-5.83,-1026.9,-3.15,5573
58283974,2022-12-12 03:14:14,sell,34.0,US100.cash,11519.6,11545.0,11485.0,2022-12-12 03:34:10,11545.1,0.0,0.0,-867.0,-25.5,1196
58238288,2022-12-09 16:45:31,buy,10.0,US100.cash,11649.6,11535.0,11722.0,2022-12-09 18:59:44,11697.0,0.0,0.0,474.0,47.4,8053
58228978,2022-12-09 15:44:45,sell,5.0,US100.cash,11562.8,11732.0,11382.0,2022-12-09 18:59:39,11696.9,0.0,0.0,-670.5,-134.1,11694
58255166,2022-12-09 18:29:12,buy,0.85,XAUUSD,1802.36,1790.0,1813.5,2022-12-09 18:59:34,1804.5,0.0,-1.54,181.9,2.14,1822
58244696,2022-12-09 17:15:37,sell,1.4,XAUUSD,1793.72,1800.7,1786.0,2022-12-09 18:22:09,1800.79,0.0,-2.52,-989.8,-7.07,3992
58216988,2022-12-09 14:29:29,buy,20.0,US100.cash,11710.2,11650.0,11750.0,2022-12-09 15:30:16,11634.4,0.0,0.0,-1516.0,-75.8,3647
58137609,2022-12-08 17:02:00,buy,1.2,XAUUSD,1790.7,1783.7,1800.3,2022-12-09 13:37:47,1798.87,-29.26,-2.15,980.4,8.17,74147
58137845,2022-12-08 17:03:26,buy,8.0,US100.cash,11588.5,11462.0,11709.0,2022-12-09 13:37:41,11680.4,-16.64,0.0,735.2,91.9,74055
58182420,2022-12-09 04:30:56,buy,20.0,US100.cash,11657.8,11610.0,11708.0,2022-12-09 13:37:35,11680.5,0.0,0.0,454.0,22.7,32799
58185763,2022-12-09 06:14:25,buy,2.3,XAUUSD,1796.16,1792.0,1800.6,2022-12-09 09:41:16,1791.97,0.0,-4.13,-963.7,-4.19,12411
58179280,2022-12-09 03:15:09,sell,2.7,GBPJPY,166.822,167.4,166.4,2022-12-09 06:01:22,166.794,0.0,-8.1,55.64,2.8,9973
58177901,2022-12-09 03:01:20,buy,4.6,XAUUSD,1790.01,1788.0,1793.0,2022-12-09 03:11:08,1793.01,0.0,-8.24,1380.0,3.0,588
58177208,2022-12-09 02:35:25,buy,4.0,GBPJPY,167.313,167.0,167.6,2022-12-09 03:09:23,166.999,0.0,-12.0,-921.06,-31.4,2038
58137103,2022-12-08 17:00:18,buy,4.0,GBPJPY,167.004,166.6,167.4,2022-12-09 02:20:02,167.408,30.7,-12.0,1180.57,40.4,33584
58132788,2022-12-08 16:45:51,sell,9.0,US100.cash,11470.5,11586.0,11378.0,2022-12-08 16:59:40,11585.8,0.0,0.0,-1037.7,-115.3,829
58121801,2022-12-08 15:45:55,buy,3.6,GBPJPY,166.895,166.5,167.2,2022-12-08 16:49:04,166.923,0.0,-10.8,73.72,2.8,3789
58111445,2022-12-08 14:15:15,buy,1.0,XAUUSD,1786.24,1781.7,1792.0,2022-12-08 15:44:51,1787.41,0.0,-1.78,117.0,1.17,5376
58114904,2022-12-08 14:59:54,buy,26.0,US100.cash,11545.0,11500.0,11579.0,2022-12-08 15:36:40,11578.7,0.0,0.0,876.2,33.7,2206
58116489,2022-12-08 15:14:45,buy,1.6,XAUUSD,1786.99,1784.4,1790.4,2022-12-08 15:33:11,1790.45,0.0,-2.86,553.6,3.46,1106
58077688,2022-12-08 03:29:46,buy,1.3,GBPJPY,166.812,166.3,167.4,2022-12-08 13:44:13,166.302,0.0,-3.9,-484.62,-51.0,36867
58082285,2022-12-08 06:15:43,buy,5.0,GBPJPY,167.037,166.75,167.3,2022-12-08 09:56:16,166.75,0.0,-15.0,-1049.9,-28.7,13233
58080351,2022-12-08 05:00:44,buy,2.0,GBPJPY,167.009,166.6,167.3,2022-12-08 05:32:10,166.805,0.0,-6.0,-298.18,-20.4,1886
58051169,2022-12-07 18:37:04,sell,1.2,GBPJPY,166.556,167.0,165.9,2022-12-08 05:00:44,167.009,-43.09,-3.6,-396.54,-45.3,37420
58045464,2022-12-07 17:59:45,buy,4.0,US100.cash,11540.8,11422.0,11670.0,2022-12-08 03:16:38,11421.6,-0.66,0.0,-476.8,-119.2,33413
58075703,2022-12-08 02:46:19,sell,2.0,XAUUSD,1785.62,1788.5,1783.5,2022-12-08 03:05:11,1783.5,0.0,-3.57,424.0,2.12,1132
58075677,2022-12-08 02:44:53,sell,15.0,US100.cash,11480.0,11510.0,11448.0,2022-12-08 03:01:03,11445.9,0.0,0.0,511.5,34.1,970
58013136,2022-12-07 15:31:18,buy,0.8,XAUUSD,1777.31,1770.7,1783.0,2022-12-07 16:36:00,1783.2,0.0,-1.42,471.2,5.89,3882
58010536,2022-12-07 15:14:33,sell,2.0,GBPJPY,167.134,167.45,166.8,2022-12-07 16:13:26,166.8,0.0,-6.0,488.94,33.4,3533
58003634,2022-12-07 14:14:51,sell,0.96,XAUUSD,1771.28,1776.0,1765.7,2022-12-07 15:16:32,1776.02,0.0,-1.7,-455.04,-4.74,3701
58002448,2022-12-07 13:59:43,sell,10.0,US100.cash,11482.9,11530.0,11430.0,2022-12-07 14:21:20,11430.1,0.0,0.0,528.0,52.8,1297
57968596,2022-12-07 06:44:34,sell,1.8,XAUUSD,1770.66,1773.5,1768.0,2022-12-07 07:14:26,1773.56,0.0,-3.19,-522.0,-2.9,1792
57968337,2022-12-07 06:36:41,buy,4.4,GBPJPY,166.521,166.3,166.7,2022-12-07 06:52:44,166.697,0.0,-13.2,563.25,17.6,963
57962838,2022-12-07 03:44:31,buy,1.5,XAUUSD,1771.87,1768.6,1775.0,2022-12-07 04:29:02,1775.05,0.0,-2.66,477.0,3.18,2671
57960736,2022-12-07 02:46:54,buy,2.6,GBPJPY,166.231,165.9,166.5,2022-12-07 03:09:35,166.509,0.0,-7.8,526.2,27.8,1361
57959273,2022-12-07 02:00:14,sell,4.0,GBPJPY,166.055,166.3,165.9,2022-12-07 02:50:19,166.301,0.0,-12.0,-717.47,-24.6,3005
57960111,2022-12-07 02:29:44,sell,3.65,GBPJPY,166.023,166.2,165.8,2022-12-07 02:45:27,166.201,0.0,-10.96,-474.02,-17.8,943
57906272,2022-12-06 16:28:17,sell,1.17,XAUUSD,1776.48,1781.2,1772.4,2022-12-06 17:06:00,1772.31,0.0,-2.08,487.89,4.17,2263
57906591,2022-12-06 16:29:57,sell,10.0,US100.cash,11781.1,11830.0,11735.0,2022-12-06 16:41:36,11734.3,0.0,0.0,468.0,46.8,699
57888653,2022-12-06 14:30:04,buy,9.0,US100.cash,11827.8,11770.0,11881.0,2022-12-06 16:31:16,11770.9,0.0,0.0,-512.1,-56.9,7272
57888305,2022-12-06 14:27:19,buy,0.56,XAUUSD,1780.14,1771.0,1788.6,2022-12-06 14:49:37,1779.02,0.0,-1.0,-62.72,-1.12,1338
57850707,2022-12-06 07:44:11,sell,0.8,XAUUSD,1769.06,1775.5,1762.8,2022-12-06 13:16:06,1775.53,0.0,-1.42,-517.6,-6.47,19915
57801876,2022-12-05 17:13:40,sell,8.0,US100.cash,11889.6,11954.0,11890.0,2022-12-05 17:53:30,11890.5,0.0,0.0,-7.2,-0.9,2390
57781733,2022-12-05 15:52:06,sell,0.76,XAUUSD,1791.79,1798.6,1785.3,2022-12-05 16:54:01,1785.21,0.0,-1.36,500.08,6.58,3715
57782808,2022-12-05 15:59:22,sell,11.0,US100.cash,11908.8,11951.0,11865.0,2022-12-05 16:36:14,11950.8,0.0,0.0,-462.0,-42.0,2212
57770963,2022-12-05 14:34:37,sell,12.0,US100.cash,11941.7,11980.0,11900.0,2022-12-05 16:27:44,11910.1,0.0,0.0,379.2,31.6,6787
57727509,2022-12-05 05:59:06,buy,1.64,XAUUSD,1808.92,1806.0,1812.0,2022-12-05 08:14:40,1806.02,0.0,-2.96,-475.6,-2.9,8134
57719033,2022-12-05 02:29:12,buy,0.83,XAUUSD,1800.29,1794.3,1806.3,2022-12-05 03:31:32,1806.32,0.0,-1.5,500.49,6.03,3740
57693427,2022-12-02 18:57:56,buy,3.0,US100.cash,11939.1,11858.0,12016.0,2022-12-02 22:13:51,12015.9,0.0,0.0,230.4,76.8,11755
57689668,2022-12-02 18:28:31,buy,0.28,XAUUSD,1790.23,1780.7,1798.4,2022-12-02 19:14:32,1798.44,0.0,-0.5,229.88,8.21,2761
57674319,2022-12-02 16:43:09,sell,0.47,XAUUSD,1782.53,1787.6,1777.2,2022-12-02 18:09:36,1787.82,0.0,-0.84,-248.63,-5.29,5187
57580247,2022-12-01 17:25:41,sell,1.0,US100.cash,11950.0,12122.0,11771.0,2022-12-02 15:31:02,11771.8,-3.85,0.0,178.2,178.2,79521
57650329,2022-12-02 14:31:12,buy,9.0,US100.cash,12032.3,12000.0,12054.0,2022-12-02 15:30:01,11962.3,0.0,0.0,-630.0,-70.0,3529
57622895,2022-12-02 07:02:36,buy,10.0,US100.cash,12005.7,11984.0,12031.0,2022-12-02 11:04:16,12030.1,0.0,0.0,244.0,24.4,14500
57615258,2022-12-02 02:28:19,sell,8.0,US100.cash,11994.0,12026.0,11963.0,2022-12-02 10:41:22,12026.1,0.0,0.0,-256.8,-32.1,29583
57615349,2022-12-02 02:30:59,sell,0.62,XAUUSD,1800.85,1805.0,1797.0,2022-12-02 04:26:04,1797.05,0.0,-1.12,235.6,3.8,6905
57580202,2022-12-01 17:25:24,buy,1.0,US100.cash,11947.1,0.0,0.0,2022-12-01 17:25:32,11950.2,0.0,0.0,3.1,3.1,8
57557306,2022-12-01 15:44:30,buy,2.0,US100.cash,12089.5,11963.0,12216.0,2022-12-01 17:16:52,11963.2,0.0,0.0,-252.6,-126.3,5542
